Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2002,Scott Williamson,CIN,74.0,299,0.8592,0.2189,0.3609,0.4201,0.1690,0.0704,0.0820,0.0000,0.3842,0.3446,0.2712,0.1751,0.6384,0.1864,361
2002,Danys Baez,CLE,165.1,726,1.1397,0.2231,0.4138,0.3631,0.0950,0.0782,0.0784,0.2500,0.4277,0.2614,0.3109,0.1366,0.6139,0.2495,367
2002,Bartolo Colon,2 Tms,233.1,966,1.3689,0.2028,0.4607,0.3366,0.1189,0.0820,0.0928,0.0500,0.3852,0.3087,0.3060,0.1736,0.6110,0.2153,375
2002,Ryan Drese,CLE,137.1,635,1.3862,0.2462,0.4379,0.3159,0.0552,0.1034,0.1244,0.3333,0.3828,0.2925,0.3247,0.1376,0.5892,0.2731,379
2002,Chuck Finley,2 Tms,190.2,809,1.7179,0.2119,0.4981,0.2900,0.1090,0.0833,0.0970,0.2941,0.4360,0.2775,0.2865,0.1119,0.6733,0.2148,384
2002,CC Sabathia,CLE,210.0,891,1.2555,0.2025,0.4439,0.3536,0.0925,0.0749,0.0596,0.2727,0.4410,0.2802,0.2787,0.1577,0.6462,0.1960,404
2002,Paul Shuey,2 Tms,68.0,288,2.9744,0.1711,0.6203,0.2086,0.1026,0.0769,0.0690,0.1667,0.5130,0.2487,0.2383,0.1554,0.6736,0.1710,406
2002,Mark Wohlers,CLE,71.1,304,2.0500,0.1903,0.5442,0.2655,0.1000,0.1000,0.0569,0.0000,0.3886,0.3144,0.2969,0.1354,0.6157,0.2489,414
2002,Shawn Chacon,COL,119.1,537,1.1554,0.1904,0.4340,0.3756,0.1081,0.1689,0.0468,0.1111,0.4119,0.2978,0.2903,0.1642,0.5622,0.2736,424
2002,Mike Hampton,COL,178.2,838,1.6845,0.2336,0.4809,0.2855,0.0588,0.1283,0.0825,0.4545,0.4144,0.3093,0.2763,0.1517,0.6216,0.2267,430
2002,Jason Jennings,COL,185.1,808,1.5843,0.2203,0.4780,0.3017,0.1180,0.1461,0.0461,0.1538,0.4395,0.2786,0.2819,0.1526,0.6584,0.1891,434
2002,Jose Jimenez,COL,73.1,307,2.8333,0.1446,0.6322,0.2231,0.0370,0.1296,0.0588,0.0000,0.4350,0.3252,0.2398,0.1423,0.6951,0.1626,435
2002,Todd Jones,COL,82.1,352,1.3333,0.2025,0.4557,0.3418,0.0741,0.1235,0.0648,0.1818,0.3306,0.3065,0.3629,0.1660,0.6356,0.1984,436
2002,Denny Neagle,COL,164.1,724,1.0000,0.2030,0.3985,0.3985,0.1524,0.1238,0.0571,0.2308,0.4074,0.2926,0.3000,0.1670,0.6048,0.2282,441
2002,Dennys Reyes,2 Tms,82.2,378,1.9014,0.2399,0.4982,0.2620,0.1268,0.1408,0.0667,0.0000,0.4781,0.2628,0.2591,0.0912,0.6460,0.2628,444
