Symbol,Name,Exchange,Last,Industry,Sector,SIC Description
LAZY,Lazydays Holdings Inc,NASDAQ,12.75,Leisure & Recreational Prdcts,Consumer Discretionary,SIC-5500 Retail-Auto Dealers & Gasoline Stations
LB,L Brands Inc,NYSE,30.1,Retail - Apparel & Shoes,Retail-Wholesale,N/A
LBAI,Lakeland Bancorp Inc,NASDAQ,9.67,Banks - Northeast,Finance,SIC-6022 State Commercial Banks
LBC,Luther Burbank Corp,NASDAQ,7.89,Banks - Southwest,Finance,SIC-6022 State Commercial Banks
LBRDA,Liberty Broadbd A,NASDAQ,139.83,Cable TV,Consumer Discretionary,SIC-4841 Cable & Other Pay Television Services
LBRDK,Liberty Broadbd C,NASDAQ,140.96,Cable TV,Consumer Discretionary,SIC-4841 Cable & Other Pay Television Services
LBRT,Liberty Oilfield Services Inc,NYSE,7.28,Oil - Field Services,Oils-Energy,"SIC-1389 Oil & Gas Field Services, NEC"
LBTYA,Liberty Global Ord A,NASDAQ,20.47,Cable TV,Consumer Discretionary,SIC-4841 Cable & Other Pay Television Services
LBTYB,Liberty Global Ord B,NASDAQ,20.65,Cable TV,Consumer Discretionary,N/A
LBTYK,Liberty Global Ord C,NASDAQ,20.09,Broadcast - Radio & TV,Consumer Discretionary,SIC-4841 Cable & Other Pay Television Services
LC,Lendingclub Corp,NYSE,4.5,Finance - Misc Services,Finance,SIC-6141 Personal Credit Institutions
LCI,Lannett CO Inc,NYSE,5.81,Medical - Drugs,Medical,SIC-2834 Pharmaceutical Preparations
LCII,Lci Industries,NYSE,104.56,Auto - Truck Original Parts,Auto-Tires-Trucks,SIC-3714 Motor Vehicle Parts & Accessories
LCNB,Lcnb Corp,NASDAQ,13.02,Banks - Northeast,Finance,SIC-6021 National Commercial Banks
LCTX,Lineage Cell Therapeutics Inc,NYSE Arca,0.92,Medical - Biomedical,Medical,N/A
LCUT,Lifetime Brands Inc,NASDAQ,9.42,Consumer Prdts - Misc Discr,Consumer Discretionary,"SIC-3420 Cutlery, Handtools & General Hardware"
LDL,Lydall Inc,NYSE,16.31,Conglomerates - Div Operations,Conglomerates,SIC-3714 Motor Vehicle Parts & Accessories
LDOS,Leidos Holdings Inc,NYSE,90,Aerospace - Defense,Aerospace,SIC-7373 Services-Computer Integrated Systems Design
LEA,Lear Corp,NYSE,107.83,Auto - Truck Original Parts,Auto-Tires-Trucks,SIC-3714 Motor Vehicle Parts & Accessories
LEAF,Leaf Group Ltd,NYSE,5.04,Internet - Services,Computers and Technology,SIC-7374 Services-Computer Processing & Data Preparat
LECO,Lincoln Elec Hld,NASDAQ,87.64,Machinery - Tools & Related,Industrial Products,SIC-3540 Metalworking Machinery & Equipment
LEDS,Semileds Corp,NASDAQ,2.55,Electronics - Semiconductors,Computers and Technology,SIC-3674 Semiconductors & Related Devices
LEE,Lee Enterprises Inc,NYSE,0.78,Publishing - Newspapers,Consumer Staples,N/A
LEG,Leggett & Platt Inc,NYSE,41.46,Furniture,Consumer Discretionary,N/A
LEGH,Legacy Housing Corp,NASDAQ,12.97,Real Estate Operations,Finance,SIC-2451 Mobile Homes
LEGN,Legend Biotech Corp ADR,NASDAQ,28.9,Medical - Biomedical,Medical,N/A
LEJU,Leju Holdings Ltd,NYSE,2,Real Estate Operations,Finance,SIC-6500 Real Estate
LEN,Lennar Corp,NYSE,76.28,Building - Residential & Comm,Construction,SIC-1520 General Bldg Contractors - Residential Bldgs
LEN.B,Lennar Corp Cl B,NYSE,60.39,Building - Residential & Comm,Construction,SIC-1520 General Bldg Contractors - Residential Bldgs
LEU,Centrus Energy Corp,NYSE Arca,8.45,Mining - Non Ferrous,Basic Materials,SIC-1400 Mining & Quarrying of Nonmetallic Minerals (
LEVI,Levi Strauss & CO Cl A,NYSE,12.82,Retail - Apparel & Shoes,Retail-Wholesale,SIC-2300 Apparel & Other Finished Prods of Fabrics &
LEVL,Level One Bancorp Inc,NASDAQ,15.35,Banks - Northeast,Finance,SIC-6022 State Commercial Banks
LFC,China Life Insurance Company Ltd,NYSE,11.38,Insurance - Life,Finance,SIC-6311 Life Insurance
LFUS,Littelfuse Inc,NASDAQ,166.87,Electronics - Misc Components,Computers and Technology,SIC-3613 Switchgear & Switchboard Apparatus
LFVN,Lifevantage Cp,NASDAQ,12.74,Medical - Dental Suppliers,Medical,SIC-2834 Pharmaceutical Preparations
LGF.A,Lions Gate Entertainment Corp Cl A,NYSE,9.24,Movie & TV Production & Dist,Consumer Discretionary,SIC-7812 Services-Motion Picture & Video Tape Product
LGF.B,Lions Gate Entertainment Corp Cl B,NYSE,8.53,Movie & TV Production & Dist,Consumer Discretionary,SIC-7812 Services-Motion Picture & Video Tape Product
LGHL,Lion Group Holding Ltd ADR,NASDAQ,2.2,Finance - Misc Services,Finance,N/A
LGIH,LGI Homes Inc,NASDAQ,105.3,Real Estate Developers,Finance,SIC-1531 Operative Builders
LGL,LGL Group,NYSE Arca,9,Machinery - Electrical,Industrial Products,"SIC-3679 Electronic Components, NEC"
LGND,Ligand Pharm,NASDAQ,93.18,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
LH,Laboratory Corp of America Holdings,NYSE,178.68,Medical - Dental Suppliers,Medical,N/A
LHCG,LHC Group Inc,NASDAQ,199.02,Medical Services,Medical,SIC-8082 Services-Home Health Care Services
LHX,L3Harris Technologies Inc,NYSE,178.13,Aerospace - Defense,Aerospace,N/A
LI,Li Auto Inc ADR,NASDAQ,15.68,Auto - Foreign,Auto-Tires-Trucks,N/A
LIFE,Atyr Pharma Inc,NASDAQ,3.86,Medical - Biomedical,Medical,"SIC-2836 Biological Products, (No Disgnostic Substanc"
LII,Lennox International,NYSE,260.35,Building Prdcts - Air Heating,Construction,SIC-3585 Air-Cond & Warm Air Heatg Equip & Comm & Ind
LILA,Liberty Latin America Cl A,NASDAQ,7.6,Wireless National,Utilities,SIC-4841 Cable & Other Pay Television Services
LILAK,Liberty Latin America Cl C,NASDAQ,7.52,Wireless National,Utilities,SIC-4841 Cable & Other Pay Television Services
LIN,Linde Plc,NYSE,233.15,Oil - Field Services,Oils-Energy,N/A
LINC,Lincoln Educational,NASDAQ,5.83,Schools,Consumer Discretionary,SIC-8200 Services-Educational Services
LIND,Lindblad Expd Hld,NASDAQ,8.72,Leisure & Recreation Services,Consumer Discretionary,SIC-4700 Transportation Services
LINX,Linx S.A. ADR,NYSE,6.31,Internet - Software,Computers and Technology,SIC-7372 Services-Prepackaged Software
LIQT,Liqtech International Inc,NASDAQ,7.64,Pollution Controls,Industrial Products,SIC-3590 Misc Industrial & Commercial Machinery & Equ
LITB,Lightinthebox Holding CO Ltd,NYSE,1.62,Internet Services - Delivery,Computers and Technology,SIC-5961 Retail-Catalog & Mail-Order Houses
LITE,Lumentum Hld,NASDAQ,72.55,Lasers - Systems & Components,Computers and Technology,"SIC-3669 Communications Equipment, NEC"
LIVE,Live Ventures,NASDAQ,8.9,Internet - Software,Computers and Technology,"SIC-6799 Investors, NEC"
LIVN,Livanova Plc OR Sh,NASDAQ,41.91,Medical Instruments,Medical,SIC-3845 Electromedical & Electrotherapeutic Apparatu
LIVX,Livexlive Media Inc,NASDAQ,2.6,Audio & Video Products,Consumer Discretionary,SIC-5812 Retail-Eating Places
LIZI,Lizhi Inc ADR,NASDAQ,2.69,Audio & Video Products,Consumer Discretionary,"SIC-7370 Services-Computer Programming, Data Processi"
LJPC,LA Jolla Pharma,NASDAQ,4,Medical - Drugs,Medical,"SIC-2836 Biological Products, (No Disgnostic Substanc"
LKCO,Luokung Technology Corp,NASDAQ,0.41,Technology Services,Business Services,N/A
LKFN,Lakeland Finl Corp,NASDAQ,39.66,Banks - Midwest,Finance,SIC-6022 State Commercial Banks
LKQ,LKQ Corp,NASDAQ,27.89,Auto - Truck Replacement Parts,Auto-Tires-Trucks,SIC-5010 Wholesale-Motor Vehicles & Motor Vehicle Par
LL,Lumber Liquidators Holdings Inc,NYSE,20.81,Building Prds Retail - Wsale,Retail-Wholesale,SIC-5211 Retail-Lumber & Other Building Materials Dea
LLIT,Lianluo Smart Ltd,NASDAQ,0.36,Medical Instruments,Medical,N/A
LLNW,Limelight Networks,NASDAQ,5.88,Internet - Services,Computers and Technology,"SIC-7389 Services-Business Services, NEC"
LLY,Eli Lilly and Company,NYSE,149.81,Large Cap Pharma,Medical,N/A
LMAT,Lemaitre Vascular,NASDAQ,33.45,Medical Products,Medical,SIC-3841 Surgical & Medical Instruments & Apparatus
