Season,Name,Tm,PA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2002,Todd Helton,COL,668.00,0.9422,0.2881,0.3453,0.3665,0.0636,0.1734,0.0736,0.0000,0.4258,0.3093,0.2648,0.1165,0.6165,0.2669,432.00
2002,Todd Hollandsworth,2 Tms,477.00,1.7526,0.1909,0.5152,0.2939,0.0619,0.1649,0.0765,0.3750,0.3876,0.2959,0.3166,0.1391,0.6302,0.2308,433.00
2002,Jose Ortiz,COL,215.00,1.3091,0.2112,0.4472,0.3416,0.1455,0.0182,0.0694,0.4000,0.5241,0.2651,0.2108,0.2289,0.6446,0.1265,442.00
2002,Juan Pierre,COL,640.00,3.3333,0.1942,0.6198,0.1860,0.0889,0.0111,0.0800,0.3750,0.3157,0.3485,0.3358,0.1843,0.6825,0.1332,443.00
2002,Terry Shumpert,COL,268.00,1.1408,0.2205,0.4154,0.3641,0.1408,0.0845,0.0741,0.1429,0.5000,0.3069,0.1931,0.1782,0.6535,0.1683,449.00
2002,Juan Uribe,COL,618.00,1.3767,0.2306,0.4457,0.3237,0.1096,0.0411,0.0746,0.0000,0.4423,0.2702,0.2876,0.1917,0.6362,0.1721,454.00
2002,Larry Walker,COL,553.00,1.3609,0.2266,0.4458,0.3276,0.1128,0.1955,0.0608,1.0000,0.4216,0.3186,0.2598,0.1029,0.6005,0.2966,455.00
2002,Todd Zeile,COL,580.00,1.6746,0.1995,0.5012,0.2993,0.1270,0.1429,0.0474,0.0000,0.3397,0.3040,0.3563,0.1357,0.6524,0.2119,457.00
2002,Damion Easley,DET,346.00,1.0000,0.1832,0.4084,0.4084,0.1589,0.0748,0.0467,0.3333,0.4302,0.2906,0.2792,0.1774,0.6113,0.2113,464.00
2002,Robert Fick,DET,614.00,0.9162,0.2213,0.3723,0.4064,0.0942,0.0890,0.0286,0.0000,0.4246,0.2611,0.3142,0.0955,0.6539,0.2505,466.00
2002,Shane Halter,DET,458.00,1.2321,0.2063,0.4381,0.3556,0.0804,0.0893,0.0362,0.5000,0.4458,0.2693,0.2848,0.0867,0.6718,0.2415,468.00
2002,Bobby Higginson,DET,499.00,0.7965,0.2370,0.3383,0.4247,0.0930,0.0581,0.0584,0.5000,0.4570,0.3022,0.2408,0.1130,0.6314,0.2555,469.00
2002,Brandon Inge,DET,351.00,1.0575,0.1826,0.4201,0.3973,0.0920,0.0805,0.0543,0.0000,0.3739,0.3243,0.3018,0.1171,0.6396,0.2432,470.00
2002,Damian Jackson,DET,274.00,1.0952,0.1579,0.4402,0.4019,0.1667,0.0119,0.1196,0.2000,0.4439,0.2523,0.3037,0.1549,0.6526,0.1925,471.00
2002,Jose Macias,2 Tms,373.00,1.3548,0.2036,0.4582,0.3382,0.1935,0.0753,0.0635,0.3333,0.4334,0.2696,0.2969,0.2389,0.5836,0.1775,476.00
2002,Wendell Magee,DET,364.00,1.5455,0.2085,0.4806,0.3110,0.1136,0.0682,0.0662,0.1667,0.4187,0.3253,0.2561,0.1038,0.6955,0.2007,477.00
2002,Craig Paquette,DET,266.00,1.3143,0.1980,0.4554,0.3465,0.1143,0.0571,0.0435,0.0000,0.3892,0.3153,0.2956,0.1782,0.6040,0.2178,484.00
2002,Randall Simon,DET,506.00,1.7348,0.2118,0.5000,0.2882,0.1894,0.1439,0.0349,1.0000,0.4031,0.3115,0.2854,0.1852,0.6057,0.2092,497.00
2002,Dmitri Young,DET,216.00,1.7143,0.1840,0.5153,0.3006,0.0612,0.1429,0.0238,0.0000,0.4417,0.2883,0.2699,0.0859,0.6626,0.2515,505.00
2002,Luis Castillo,FLA,668.00,3.6932,0.1918,0.6360,0.1722,0.0455,0.0227,0.0862,0.3750,0.2916,0.3234,0.3850,0.1614,0.7129,0.1257,513.00
2002,Cliff Floyd,3 Tms,609.00,1.1931,0.2374,0.4149,0.3477,0.1448,0.1931,0.0578,0.0000,0.4700,0.2494,0.2806,0.1463,0.5060,0.3477,518.00
2002,Charles Johnson,FLA,280.00,1.2687,0.1915,0.4521,0.3564,0.1791,0.0896,0.0353,0.0000,0.4521,0.2926,0.2553,0.1383,0.5691,0.2926,523.00
2002,Derrek Lee,FLA,688.00,0.8706,0.2447,0.3515,0.4038,0.1118,0.1588,0.0405,0.0000,0.4513,0.3349,0.2138,0.0786,0.5714,0.3500,525.00
2002,Mike Lowell,FLA,678.00,0.6349,0.2364,0.2965,0.4671,0.1452,0.0996,0.0392,0.0000,0.4612,0.2771,0.2616,0.1320,0.6447,0.2233,527.00
2002,Kevin Millar,FLA,489.00,0.7975,0.2324,0.3405,0.4270,0.1329,0.1013,0.0714,0.0000,0.5081,0.2649,0.2270,0.1514,0.5919,0.2568,529.00
2002,Eric Owens,FLA,426.00,2.8514,0.1810,0.6063,0.2126,0.1081,0.0541,0.1137,0.1538,0.2576,0.3435,0.3989,0.2382,0.6233,0.1385,534.00
2002,Mike Redmond,FLA,290.00,2.2941,0.2432,0.5270,0.2297,0.0588,0.0392,0.0256,0.0000,0.2731,0.3348,0.3921,0.0925,0.7225,0.1850,538.00
2002,Preston Wilson,FLA,582.00,1.3615,0.1747,0.4758,0.3495,0.1385,0.1769,0.0508,0.0000,0.5387,0.2400,0.2213,0.1520,0.5867,0.2613,545.00
2002,Brad Ausmus,HOU,496.00,1.8333,0.2375,0.4934,0.2691,0.1373,0.0588,0.0535,0.0000,0.4068,0.2651,0.3281,0.1339,0.6824,0.1837,546.00
2002,Jeff Bagwell,HOU,691.00,0.9061,0.2333,0.3644,0.4022,0.0718,0.1713,0.0488,0.0000,0.4844,0.2711,0.2444,0.0867,0.6067,0.3067,547.00
2002,Lance Berkman,HOU,692.00,1.0055,0.2082,0.3970,0.3948,0.0769,0.2308,0.0601,0.5000,0.3844,0.3283,0.2873,0.1255,0.5325,0.3420,548.00
2002,Craig Biggio,HOU,655.00,1.4581,0.1824,0.4850,0.3326,0.1484,0.0968,0.0929,0.2727,0.4528,0.2746,0.2725,0.1660,0.6261,0.2080,549.00
2002,Geoff Blum,HOU,421.00,1.1071,0.2133,0.4133,0.3733,0.1339,0.0893,0.0161,0.0000,0.4983,0.2857,0.2159,0.1429,0.6445,0.2126,550.00
2002,Richard Hidalgo,HOU,439.00,0.6689,0.1902,0.3246,0.4852,0.1081,0.1014,0.0606,0.0000,0.4689,0.3279,0.2033,0.1443,0.6000,0.2557,561.00
2002,Brian L. Hunter,HOU,220.00,1.6889,0.2438,0.4750,0.2813,0.0889,0.0667,0.0789,0.3333,0.4356,0.3252,0.2393,0.1779,0.6319,0.1902,562.00
2002,Julio Lugo,HOU,358.00,1.5867,0.2016,0.4897,0.3086,0.1200,0.1067,0.1261,0.2727,0.3740,0.3110,0.3150,0.1457,0.6693,0.1850,565.00
2002,Jose Vizcaino,HOU,438.00,1.1983,0.2732,0.3962,0.3306,0.0992,0.0413,0.0690,0.1429,0.3941,0.2895,0.3164,0.1903,0.6354,0.1743,577.00
2002,Daryle Ward,HOU,491.00,0.8867,0.2453,0.3547,0.4000,0.2067,0.0800,0.0376,0.0000,0.4933,0.2267,0.2800,0.1707,0.5840,0.2453,579.00
2002,Gregg Zaun,HOU,202.00,1.2157,0.2365,0.4189,0.3446,0.2353,0.0588,0.0484,0.2500,0.4605,0.2434,0.2961,0.1579,0.5987,0.2434,580.00
2002,Luis Alicea,KCR,273.00,1.5667,0.2103,0.4821,0.3077,0.0667,0.0167,0.0319,0.2727,0.3883,0.3058,0.3058,0.1505,0.7039,0.1456,584.00
2002,Carlos Beltran,KCR,722.00,1.3550,0.2008,0.4598,0.3394,0.0888,0.1716,0.0873,0.4286,0.5059,0.2832,0.2109,0.1191,0.6152,0.2656,589.00
2002,Carlos Febles,KCR,404.00,2.5645,0.2163,0.5638,0.2199,0.0806,0.0645,0.0377,0.1818,0.3447,0.3242,0.3311,0.1843,0.6212,0.1945,598.00
